SiteName,SiteType,Independent,BlackBasalArea,RedBasalArea,WhiteBasalArea,BlackCanopyWidth,RedCanopyWidth,WhiteCanopyWidth,BlackTreeHeight,RedTreeHeight,WhiteTreeHeight
Conference,Basin,CN-T1-P13,0.31420000000000003,0.44184375,1.4139,3,4,3,25,5.5,7
Conference,Basin,CN-T2-P1,0,0,1.4139,0,0,5,0,0,20
Conference,Basin,CN-T2-P3,0,0.39275,0,0,1.6666666666666667,0,0,3.3333333333333335,0
Levera,Basin,LV-T1-P13,0.31420000000000003,1.1193374999999999,4.2417,6,6,2,30,25,20
Levera,Basin,LV-T23-P13,1.02115,0.274925,1.6691875,6.125,2.6666666666666665,3,20.25,7.666666666666667,15
Levera,Basin,LV-T456-P13,0.5760333333333334,2.125759375,1.0997,4.666666666666667,3.75,2.1666666666666665,25,13.25,17.333333333333332
Levera,Basin,LV-T6-P3,0.510575,0,1.4139,6,0,5.5,27.5,0,27.5
Levera,Basin,LV-T7-P1,0,2.8278,0.70695,0,2.5,3,0,25,17
Levera,Basin,LV-T7-P3,0,0.39275,0,0,3,0,0,10,0
Mt. Hartman,Fringe,MH-T12-P1,0,0.18066500000000002,0.49093749999999997,0,3.7666666666666666,8,0,4.083333333333333,4.2
Mt. Hartman,Fringe,MH-T12-P3,0.2659478571428571,0,0.39275,2.47,0,3,4,0,5.95
Westerhall,Fringe,WH-T1-P13,0,0.6274181249999999,1.4983412499999997,0,3.875,0.75,0,4.75,6.45
Westerhall,Fringe,WH-T2-P13,0.196375,0.5867684999999999,0.6480375,1,1.9,1.25,7,8.42,9
Westerhall,Fringe,WH-T3-P13,0,1.0538791666666667,0.28474374999999996,0,2.3333333333333335,2.95,0,12.166666666666666,11
Westerhall,Fringe,WH-T4-P13,0,0.755651,0.40256875,0,1.7,1.3,0,8.12,10
