Site,Code,SiteID,Date,Visit,Start Time,Precipitation,Beaufort Wind Scale,Background Noise,Cloud Cover,Visit Number,Transect,Tnum,Plot,Pnum,Group,Species,Abundance,Notes,,SiteID,Independent 
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,1,0,5,1,1,T1,1,P1,1,BANA,4,,,CN_T1_P1,
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,1,0,5,1,1,T1,1,P1,1,GRHE,1,,,CN_T1_P3,
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,1,0,5,1,1,T1,1,P1,1,SNPI,3,,,CN_T2_P1,
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,1,0,5,1,1,T1,1,P1,1,SPTH,1,,,CN_T2_P3,
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,1,0,5,1,1,T1,1,P1,1,LBHE,1,,,LV_T1_P1,y
Conference,CN,CN_T1_P1,28-Feb-20,2,7:20 AM,None/Dry,0,0,5,1,1,T1,1,P1,1,ANCH,1,,,LV_T1_P3,y
Conference,CN,CN_T1_P1,22-Apr-20,4,7:30 AM,Drizzle,0,0,8,2,1,T1,1,P1,1,BANA,3,,,LV_T2_P1,y
Conference,CN,CN_T1_P1,22-Apr-20,4,7:30 AM,Drizzle,0,0,8,2,1,T1,1,P1,1,SPTH,1,,,LV_T2_P3,y
Conference,CN,CN_T1_P1,22-Apr-20,4,7:30 AM,Drizzle,0,0,8,2,1,T1,1,P1,1,GRHE,1,,,LV_T3_P1,y
Conference,CN,CN_T1_P1,22-Apr-20,4,7:30 AM,Drizzle,0,0,8,2,1,T1,1,P1,1,TRMO,1,,,LV_T3_P3,y
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,LAGU,13,,,LV_T4_P1,n
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,SPTH,1,,,LV_T4_P3,n
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,MAFR,1,,,LV_T5_P1,n
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,ZEND,1,,,LV_T5_P3,n
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,HOWR,1,,,LV_T6_P1,y
Conference,CN,CN_T1_P1,20-May-20,8,8:30 AM,None/Dry,3,0,3,3,1,T1,1,P1,1,BANA,3,,,LV_T6_P3,y
Conference,CN,CN_T1_P3,28-Feb-20,2,7:47 AM,None/Dry,0,0,5,1,1,T1,3,P3,1,BANA,6,,,LV_T7_P1,y
Conference,CN,CN_T1_P3,28-Feb-20,2,7:47 AM,None/Dry,0,0,5,1,1,T1,3,P3,1,ANCH,3,,,LV_T7_P3,y
Conference,CN,CN_T1_P3,28-Feb-20,2,7:47 AM,None/Dry,0,0,5,1,1,T1,3,P3,1,CAGR,2,,,MH_T1_P1,
Conference,CN,CN_T1_P3,28-Feb-20,2,7:47 AM,None/Dry,0,0,5,1,1,T1,3,P3,1,TRMO,1,,,MH_T1_P3,
Conference,CN,CN_T1_P3,22-Apr-20,4,7:43 AM,Drizzle,0,0,8,2,1,T1,3,P3,1,BANA,6,,,MH_T2_P3,
Conference,CN,CN_T1_P3,22-Apr-20,4,7:43 AM,Drizzle,0,0,8,2,1,T1,3,P3,1,GRAK,2,,,WH_T1_P1,
Conference,CN,CN_T1_P3,22-Apr-20,4,7:43 AM,Drizzle,0,0,8,2,1,T1,3,P3,1,TRMO,1,,,WH_T1_P3,
Conference,CN,CN_T1_P3,22-Apr-20,4,7:43 AM,Drizzle,0,0,8,2,1,T1,3,P3,1,SPTH,2,,,WH_T2_P1,
Conference,CN,CN_T2_P1,28-Feb-20,2,8:32 AM,None/Dry,0,0,6,1,2,T2,1,P1,2,COGA,2,,,WH_T2_P3,
Conference,CN,CN_T2_P1,28-Feb-20,2,8:32 AM,None/Dry,0,0,6,1,2,T2,1,P1,2,GRAK,3,,,WH_T3_P1,
Conference,CN,CN_T2_P1,28-Feb-20,2,8:32 AM,None/Dry,0,0,6,1,2,T2,1,P1,2,LAGU,7,,,WH_T3_P3,
Conference,CN,CN_T2_P1,28-Feb-20,2,8:32 AM,None/Dry,0,0,6,1,2,T2,1,P1,2,MAFR,3,,,WH_T4_P1,
Conference,CN,CN_T2_P1,22-Apr-20,4,8:22 AM,Damp/Haze/Fog,0,0,8,2,2,T2,1,P1,2,LAGU,4,,,WH_T4_P3,
Conference,CN,CN_T2_P1,22-Apr-20,4,8:22 AM,Damp/Haze/Fog,0,0,8,2,2,T2,1,P1,2,BANA,4,,,,
Conference,CN,CN_T2_P1,22-Apr-20,4,8:22 AM,Damp/Haze/Fog,0,0,8,2,2,T2,1,P1,2,SNPI,3,,,,
Conference,CN,CN_T2_P3,28-Feb-20,2,8:44 AM,None/Dry,0,0,6,1,2,T2,3,P3,2,BANA,4,,,,
Conference,CN,CN_T2_P3,28-Feb-20,2,8:44 AM,None/Dry,0,0,6,1,2,T2,3,P3,2,SPTH,2,,,,
Conference,CN,CN_T2_P3,28-Feb-20,2,8:44 AM,None/Dry,0,0,6,1,2,T2,3,P3,2,ANCH,1,,,,
Conference,CN,CN_T2_P3,28-Feb-20,2,8:44 AM,None/Dry,0,0,6,1,2,T2,3,P3,2,SNPI,3,,,,
Conference,CN,CN_T2_P3,28-Feb-20,2,8:44 AM,None/Dry,0,0,6,1,2,T2,3,P3,2,TRMO,2,,,,
Conference,CN,CN_T2_P3,22-Apr-20,4,8:47 AM,Damp/Haze/Fog,0,0,7,2,2,T2,3,P3,2,CGDO,2,,,,
Conference,CN,CN_T2_P3,22-Apr-20,4,8:47 AM,Damp/Haze/Fog,0,0,7,2,2,T2,3,P3,2,BANA,6,,,,
Conference,CN,CN_T2_P3,22-Apr-20,4,8:47 AM,Damp/Haze/Fog,0,0,7,2,2,T2,3,P3,2,GRAK,2,,,,
Conference,CN,CN_T2_P3,22-Apr-20,4,8:47 AM,Damp/Haze/Fog,0,0,7,2,2,T2,3,P3,2,SPTH,1,,,,
Conference,CN,CN_T2_P3,20-May-20,8,9:02 AM,None/Dry,0,0,3,3,2,T2,3,P3,2,SNPI,1,,,,
Conference,CN,CN_T2_P3,20-May-20,8,9:02 AM,None/Dry,0,0,3,3,2,T2,3,P3,2,SPTH,2,,,,
Conference,CN,CN_T2_P3,20-May-20,8,9:02 AM,None/Dry,0,0,3,3,2,T2,3,P3,2,BANA,4,,,,
Conference,CN,CN_T2_P3,20-May-20,8,9:02 AM,None/Dry,0,0,3,3,2,T2,3,P3,2,YCNH,2,,,,
Levera,LV,LV_T1_P1,30-Apr-20,5,7:11 AM,None/Dry,1,0,3,2,1,T1,1,P1,,COGA,1,,,,
Levera,LV,LV_T1_P1,30-Apr-20,5,7:11 AM,None/Dry,1,0,3,2,1,T1,1,P1,,BANA,4,,,,
Levera,LV,LV_T1_P1,30-Apr-20,5,7:11 AM,None/Dry,1,0,3,2,1,T1,1,P1,,ZEND,1,,,,
Levera,LV,LV_T1_P1,30-Apr-20,5,7:11 AM,None/Dry,1,0,3,2,1,T1,1,P1,,TRMO,2,,,,
Levera,LV,LV_T1_P1,31-May-20,9,8:19 AM,Damp/Haze/Fog,1,0,4,3,1,T1,1,P1,,SNPI,5,,,,
Levera,LV,LV_T1_P1,31-May-20,9,8:19 AM,Damp/Haze/Fog,1,0,4,3,1,T1,1,P1,,BANA,5,,,,
Levera,LV,LV_T1_P1,31-May-20,9,8:19 AM,Damp/Haze/Fog,1,0,4,3,1,T1,1,P1,,MAFR,1,,,,
Levera,LV,LV_T1_P1,31-May-20,9,8:19 AM,Damp/Haze/Fog,1,0,4,3,1,T1,1,P1,,COGA,3,,,,
Levera,LV,LV_T1_P1,31-May-20,9,8:19 AM,Damp/Haze/Fog,1,0,4,3,1,T1,1,P1,,LAGU,4,,,,
Levera,LV,LV_T1_P3,30-Apr-20,5,8:53 AM,None/Dry,1,0,3,2,1,T1,3,P3,,BANA,3,,,,
Levera,LV,LV_T1_P3,30-Apr-20,5,8:53 AM,None/Dry,1,0,3,2,1,T1,3,P3,,SNPI,1,,,,
Levera,LV,LV_T1_P3,30-Apr-20,5,8:53 AM,None/Dry,1,0,3,2,1,T1,3,P3,,TRMO,2,,,,
Levera,LV,LV_T1_P3,30-Apr-20,5,8:53 AM,None/Dry,1,0,3,2,1,T1,3,P3,,GRAK,1,,,,
Levera,LV,LV_T1_P3,31-May-20,9,9:56 AM,Damp/Haze/Fog,1,0,4,3,1,T1,3,P3,,BANA,4,,,,
Levera,LV,LV_T1_P3,31-May-20,9,9:56 AM,Damp/Haze/Fog,1,0,4,3,1,T1,3,P3,,TRMO,2,,,,
Levera,LV,LV_T1_P3,31-May-20,9,9:56 AM,Damp/Haze/Fog,1,0,4,3,1,T1,3,P3,,SNPI,3,,,,
Levera,LV,LV_T1_P3,31-May-20,9,9:56 AM,Damp/Haze/Fog,1,0,4,3,1,T1,3,P3,,ANCH,1,,,,
Levera,LV,LV_T2_P1,30-Apr-20,5,7:23 AM,None/Dry,1,0,3,2,2,T2,1,P1,,COGA,2,,,,
Levera,LV,LV_T2_P1,30-Apr-20,5,7:23 AM,None/Dry,1,0,3,2,2,T2,1,P1,,ANCH,1,,,,
Levera,LV,LV_T2_P1,30-Apr-20,5,7:23 AM,None/Dry,1,0,3,2,2,T2,1,P1,,SNPI,4,,,,
Levera,LV,LV_T2_P1,30-Apr-20,5,7:23 AM,None/Dry,1,0,3,2,2,T2,1,P1,,BANA,6,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,BANA,6,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,SNPI,4,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,COGA,1,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,ANCH,1,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,MAFR,3,,,,
Levera,LV,LV_T2_P1,31-May-20,9,8:33 AM,Damp/Haze/Fog,1,0,4,3,2,T2,1,P1,,LAGU,4,,,,
Levera,LV,LV_T2_P3,30-Apr-20,5,9:11 AM,None/Dry,1,0,3,2,2,T2,3,P3,,BANA,2,,,,
Levera,LV,LV_T2_P3,30-Apr-20,5,9:11 AM,None/Dry,1,0,3,2,2,T2,3,P3,,GRAK,2,,,,
Levera,LV,LV_T2_P3,30-Apr-20,5,9:11 AM,None/Dry,1,0,3,2,2,T2,3,P3,,TRMO,1,,,,
Levera,LV,LV_T2_P3,31-May-20,9,10:08 AM,Damp/Haze/Fog,1,0,4,3,2,T2,3,P3,,BANA,5,,,,
Levera,LV,LV_T2_P3,31-May-20,9,10:08 AM,Damp/Haze/Fog,1,0,4,3,2,T2,3,P3,,TRMO,2,,,,
Levera,LV,LV_T2_P3,31-May-20,9,10:08 AM,Damp/Haze/Fog,1,0,4,3,2,T2,3,P3,,ZEND,1,,,,
