Site,Code,SiteID,SiteID_IND,Date,Visit,Visit Number,Transect,Tnum,Plot,Pnum,Group,Species,Abundance
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,BANA,5
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,GRHE,1
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,SNPI,3
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,SPTH,1
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,LBHE,1
Conference,CN,CN_T1_P13,CN_T1_P13,28-Feb-20,2,1,1,T1,1,P1,1,ANCH,2
Conference,CN,CN_T1_P3,CN_T1_P13,28-Feb-20,2,1,1,T1,3,P3,1,CAGR,2
Conference,CN,CN_T1_P3,CN_T1_P13,28-Feb-20,2,1,1,T1,3,P3,1,TRMO,1
Conference,CN,CN_T1_P13,CN_T1_P13,22-Apr-20,4,2,1,T1,1,P1,1,BANA,4.5
Conference,CN,CN_T1_P13,CN_T1_P13,22-Apr-20,4,2,1,T1,1,P1,1,SPTH,1.5
Conference,CN,CN_T1_P13,CN_T1_P13,22-Apr-20,4,2,1,T1,1,P1,1,GRHE,1
Conference,CN,CN_T1_P13,CN_T1_P13,22-Apr-20,4,2,1,T1,1,P1,1,TRMO,1
Conference,CN,CN_T1_P3,CN_T1_P13,22-Apr-20,4,2,1,T1,3,P3,1,GRAK,2
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,LAGU,13
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,SPTH,1
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,MAFR,1
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,ZEND,1
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,HOWR,1
Conference,CN,CN_T1_P13,CN_T1_P13,20-May-20,8,3,1,T1,1,P1,1,BANA,3
Conference,CN,CN_T2_P1,CN_T2_P1,28-Feb-20,2,1,2,T2,1,P1,2,COGA,2
Conference,CN,CN_T2_P1,CN_T2_P1,28-Feb-20,2,1,2,T2,1,P1,2,GRAK,3
Conference,CN,CN_T2_P1,CN_T2_P1,28-Feb-20,2,1,2,T2,1,P1,2,LAGU,7
