"","site","site_id_ind","ANCH","BANA","CAGR","GRAK","GRHE","HOWR","LAGU","LBHE","MAFR","SNPI","SPTH","TRMO","ZEND","COGA","CGDO","YCNH","BBWD","BWHA","GBHE","MACU","BFGR","BWVI","GFLY","BEKI","CAMA","BARS","LANB","EADO","LATA","SBAN","SPSA","YBEL","YBSE","SHCO"
"1","Conference","CN_T1_P13",2,12.5,2,2,2,1,13,1,1,3,3.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Conference","CN_T2_P1",0,4,0,3,0,0,11,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Conference","CN_T2_P3",1,14,0,2,0,0,0,0,0,4,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Levera","LV_T1_P13",1,16.95,0,0,2,0,4,0,1,13.5,0,3.7,2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Levera","LV_T23_P13",1.5,6.6,0,0,2,1.5,2,0,3,12,0,1.7,1,10,1,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Levera","LV_T456_P13",3,6,4,5,0,1,4,0,0,1,0,3,0,3,2,1,7,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"7","Levera","LV_T6_P3",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"8","Levera","LV_T7_P1",0,13,0,1,1,0,0,0,0,5,3,0,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"9","Levera","LV_T7_P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0
"10","Mt. Hartman","MH_T1_P1",1,1.5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"11","Mt. Hartman","MH_T12_P3",3,7,5,1,0,1,0,0,0,1,1,5,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,4,0
"12","Westerhall","WH_T1",0,6,3,0,0,2,3,1,2,14,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,3
"13","Westerhall","WH_T2",0,5,2,2,0,2,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"14","Westerhall","WH_T3",1,7,3,0,1,2,0,2,0,11,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15","Westerhall","WH_T4",4,8,0,1,0,2,0,4,0,5,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1
