,site,site_id,date,time,ANCH,BANA,CAGR,GRHE,LBHE,SNPI,SPTH,TRMO,GRAK,HOWR,LAGU,MAFR,ZEND,COGA,CGDO,YCNH,BBWD,BWVI,BWHA,MACU,BFGR,GBHE,GFLY,CAMA,BEKI,BARS,LANB,SPSA,YBEL,YBSE,EADO,LATA,SBAN,SHCO
29,Mt. Hartman,MH_T1_P1,2020-02-15,0,1,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
30,Mt. Hartman,MH_T1_P3,2020-02-15,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Mt. Hartman,MH_T2_P3,2020-02-15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Conference,CN_T1,2020-02-28,13,4,10,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Conference,CN_T2,2020-02-28,13,1,4,0,0,0,3,2,2,3,0,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Westerhall,WH_T3,2020-03-31,45,1,3,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Westerhall,WH_T4,2020-03-31,45,6,6,0,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
2,Conference,CN_T1,2020-04-22,67,0,9,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Conference,CN_T2,2020-04-22,67,0,10,0,0,0,3,1,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Levera,LV_T1_P1,2020-04-30,75,0,4,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Levera,LV_T1_P3,2020-04-30,75,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Levera,LV_T2_P1,2020-04-30,75,1,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
