"","MDS1","MDS3","species"
"LAGU",-0.607430617670322,-0.0154200782157793,"LAGU"
"SPTH",-0.735932640891563,-0.181951991060678,"SPTH"
"ANCH",0.393654945621072,-0.497964599536384,"ANCH"
"CAGR",0.197052952008619,0.738976898276136,"CAGR"
"BWHA",0.214257232296154,0.785498113798649,"BWHA"
"GFLY",0.339467385103459,-0.527188959968933,"GFLY"
"MACU",0.758897052197093,-0.304793270081208,"MACU"
"LATA",0.286120914046797,0.647674419504146,"LATA"
"SBAN",0.227561116038759,0.92656023758399,"SBAN"
"YBEL",0.286120914046797,0.647674419504146,"YBEL"
"YBSE",0.273004822410092,0.880934819747749,"YBSE"
"EADO",0.0378268981394477,0.585288684137823,"EADO"
"SHCO",0.0353168154549645,0.599908413899706,"SHCO"
