,site,site_id_ind,abundance,richness,H,J
1,Conference,CN_T1_P13,46,13,2.09977338,0.818641262
2,Conference,CN_T2_P1,26,6,1.596718446,0.891145532
3,Conference,CN_T2_P3,32,8,1.713100057,0.823826986
4,Levera,LV_T1_P13,49.65,9,1.777222708,0.808848912
5,Levera,LV_T23_P13,52.3,15,2.291458123,0.846165304
6,Levera,LV_T456_P13,47,15,2.54429758,0.939531172
7,Levera,LV_T6_P3,8,4,1.320888343,0.952819531
8,Levera,LV_T7_P1,30,10,1.819198822,0.79006801
9,Levera,LV_T7_P3,10,3,1.088899975,0.991159471
10,Mt. Hartman,MH_T1_P1,9.5,6,1.749493825,0.976411095
11,Mt. Hartman,MH_T12_P3,38,18,2.586453032,0.894851337
12,Westerhall,WH_T1,46,12,2.190899655,0.881682881
13,Westerhall,WH_T2,20,9,2.038855051,0.927922922
14,Westerhall,WH_T3,32,11,1.982831559,0.826904987
15,Westerhall,WH_T4,32,11,2.174540458,0.906853808
