"","(Intercept)","site"
"BANA",NA,0.074
"HOWR",NA,0.51
"LAGU",NA,0.78
"MAFR",NA,0.991
"SNPI",NA,0.793
"SPTH",NA,0.5
"YCNH",NA,0.943
"ZEND",NA,0.991
"CGDO",NA,0.991
"GRAK",NA,0.991
"GRHE",NA,0.966
"TRMO",NA,0.344
"ANCH",NA,0.991
"CAGR",NA,0.991
"COGA",NA,0.344
"LBHE",NA,0.344
"BWHA",NA,0.991
"CAMA",NA,0.51
"GFLY",NA,0.288
"MACU",NA,0.991
"BARS",NA,0.986
"BBWD",NA,0.988
"BEKI",NA,0.986
"BFGR",NA,0.953
"BWVI",NA,0.986
"GBHE",NA,0.991
"LATA",NA,0.991
"SBAN",NA,0.991
"YBEL",NA,0.991
"YBSE",NA,0.96
"EADO",NA,0.943
"LANB",NA,0.982
"SPSA",NA,0.991
"SHCO",NA,0.988
