"","MDS1","MDS2","species"
"Fruit",-0.55540557460206,0.351461122972308,"Fruit"
"Insects",-0.00189494084512057,-0.755409876792998,"Insects"
"Seeds",-0.595884377448182,-0.497323476951406,"Seeds"
"Foliage.gleaner",-0.849945694380269,-0.0817712285851289,"Foliage.gleaner"
"Aerial.forager",0.400820894707873,-0.52137400449679,"Aerial.forager"
"Shrub",-0.831587019682339,0.175193513370696,"Shrub"
"Tree",-0.77189915891983,-0.39352767280482,"Tree"
"Building",0.380010741702654,-0.788929449048166,"Building"
"Open.woodlands",-0.646766345222255,-0.0480856277104207,"Open.woodlands"
"Forests",-0.804238037231528,-0.37742563056024,"Forests"
"Resident",-0.927544580771718,-0.225470200073018,"Resident"
"Migrant",-0.107166760385324,-0.749548096823539,"Migrant"
