Site,Date,Start Time,End Time,Transect,Plot,Position,Red (Seedlings),Black (Seedlings),White (Seedlings),Red_A,Black_A,White_A,Red_B,Black_B,White_B,Red_C,Black_C,White_C,Red_D,Black_D,White_D,Red_E,Black_E,White_E,Redox_Depth (cm),Notes
Conference,18/05/2020,2:00,2:30,1,1,seaward,10%,1%,1%,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,100,
Conference,20/05/2020,10:05,10:25,1,2,interior,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,100,Surveys on 14.06.21 found white saplings <1 m tall and no adults
Conference,20/05/2020,10:45,11:05,1,3,landward,3%,5%,0%,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,100,Verified on 14.06.21 to have no adult whites
Conference,24/05/2020,10:35,11:00,2,1,seaward,5%,3%,2%,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,80,
Conference,24/05/2020,9:00,9:20,2,2,interior,5%,1%,1%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,
Conference,24/05/2020,8:00,8:20,2,3,landward,0%,0%,5%,0,0,0,0,0,1,4,0,0,2,0,4,1,1,2,50,"This survey was redone on 27.04.21, results were combined"
Levera,26/05/2020,8:50,8:30,1,1,seaward,10%,0%,0%,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,45,
Levera,30/05/2020,9:00,9:15,1,2,interior,3%,0%,1%,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0,23,
Levera,30/05/2020,9:15,9:35,1,3,landward,2%,0%,0%,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,100,
Levera,26/05/2020,9:42,10:05,2,1,seaward,5%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,100,
Levera,30/05/2020,10:25,10:41,2,2,interior,75%,0%,0%,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,100,
Levera,30/05/2020,10:50,11:05,2,3,landward,2%,0%,0%,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,100,
Levera,30/05/2020,11:15,11:30,3,1,seaward,5%,0%,5%,0,0,0,0,0,0,3,0,17,0,0,0,0,4,0,68,
Levera,01/06/2020,8:05,8:25,3,2,interior,50%,0%,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100,
Levera,01/06/2020,8:45,9:00,3,3,landward,65%,0%,0%,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,100,
Levera,26/05/2020,11:35,11:55,4,1,seaward,50%,0%,0%,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,63.5,
Levera,01/06/2020,9:10,9:25,4,2,interior,12%,0%,3%,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,100,
Levera,01/06/2020,9:35,9:50,4,3,landward,3%,5%,0%,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,100,
Levera,28/05/2020,9:15,9:35,5,1,seaward,5%,0%,5%,0,0,0,0,0,0,0,0,0,6,0,8,0,1,0,50,
Levera,28/05/2020,10:00,10:15,5,2,interior,3%,0%,0%,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,100,
