Site ID,Area,Latitude,Longitude,Bird Site
MH-T1-P1,Mt. Hartman,12.005954,-61.752267,Y
MH-T2-P1,Mt. Hartman,12.00575,-61.75069,N
MH-T2-P2,Mt. Hartman,12.007028,-61.750592,N
MH-T2-P3,Mt. Hartman,12.008372,-61.750587,Y
MH-T1-P2,Mt. Hartman,12.007526,-61.752002,N
MH-T1-P3,Mt. Hartman,12.009047,-61.751573,Y
LV-T1-P1,Levera,12.218554,-61.611457,Y
LV-T2-P1,Levera,12.21758,-61.61288,Y
LV-T3-P1,Levera,12.218281,-61.613922,Y
LV-T4-P1,Levera,12.2196592,-61.6134605,Y
LV-T5-P1,Levera,12.220949,-61.6132406,Y
LV-T6-P1,Levera,12.2201049,-61.612216,Y
LV-T7-P1,Levera,12.2201363,-61.6105476,Y
LV-T1-P3,Levera,12.2179081,-61.6109822,Y
LV-T1-P2,Levera,12.2182646,-61.6112075,N
LV-T2-P3,Levera,12.216704,-61.612651,Y
LV-T2-P2,Levera,12.2171951,-61.6127632,N
LV-T3-P3,Levera,12.217854,-61.614449,Y
LV-T3-P2,Levera,12.2181073,-61.6141799,N
LV-T4-P3,Levera,12.2195039,-61.6143945,Y
LV-T4-P2,Levera,12.2196087,-61.6139439,N
LV-T5-P3,Levera,12.221071,-61.614036,Y
LV-T5-P2,Levera,12.2210242,-61.6136435,N
LV-T6-P3,Levera,12.2258477,-61.610693,Y
LV-T6-P2,Levera,12.2232996,-61.6113261,N
LV-T7-P3,Levera,12.2253758,-61.6093412,Y
LV-T7-P2,Levera,12.2227335,-61.61006,N
WH-T1-P1,Westerhall,12.01684,-61.70658,Y
WH-T1-P2,Westerhall,12.01721,-61.70651,N
WH-T1-P3,Westerhall,12.01747,-61.70646,Y
WH-T2-P1,Westerhall,12.0161,-61.70489,Y
WH-T2-P2,Westerhall,12.01678,-61.70488,N
WH-T2-P3,Westerhall,12.01747,-61.70496,Y
WH-T3-P1,Westerhall,12.01558,-61.70313,Y
WH-T3-P2,Westerhall,12.01591,-61.70303,N
WH-T3-P3,Westerhall,12.01621,-61.70304,Y
WH-T4-P1,Westerhall,12.01607,-61.70134,Y
WH-T4-P2,Westerhall,12.0164,-61.70157,N
WH-T4-P3,Westerhall,12.01675,-61.70167,Y
CN-T1-P1,Conference,12.159021,-61.60728,Y
CN-T1-P3,Conference,12.1590709,-61.6082268,Y
CN-T1-P2,Conference,12.1590604,-61.6077386,N
CN-T2-P1,Conference,12.157456,-61.6084038,Y
CN-T2-P3,Conference,12.1575609,-61.6105549,Y
CN-T2-P2,Conference,12.1575452,-61.6093962,N
