Site ID,Area,Latitude,Longitude,Independent
MH_T1_P1,Mt. Hartman,12.005954,-61.752267,MH-T1-P1
MH_T2_P3,Mt. Hartman,12.008372,-61.750587,MH-T12-P3
MH_T1_P3,Mt. Hartman,12.009047,-61.751573,MH-T12-P3
LV_T1_P1,Levera,12.218554,-61.611457,LV-T1-P13
LV_T2_P1,Levera,12.21758,-61.61288,LV-T1-P13
LV_T3_P1,Levera,12.218281,-61.613922,LV-T23-P13
LV_T4_P1,Levera,12.2196592,-61.6134605,LV-T23-P13
LV_T5_P1,Levera,12.220949,-61.6132406,LV-T23-P13
LV_T6_P1,Levera,12.2201049,-61.612216,LV-T23-P13
LV_T7_P1,Levera,12.2201363,-61.6105476,LV-T456-P13
LV_T1_P3,Levera,12.2179081,-61.6109822,LV-T456-P13
LV_T2_P3,Levera,12.216704,-61.612651,LV-T456-P13
LV_T3_P3,Levera,12.217854,-61.614449,LV-T456-P13
LV_T4_P3,Levera,12.2195039,-61.6143945,LV-T456-P13
LV_T5_P3,Levera,12.221071,-61.614036,LV-T6-P3
LV_T6_P3,Levera,12.2258477,-61.610693,LV-T7-P1
LV_T7_P3,Levera,12.2253758,-61.6093412,LV-T7-P3
WH_T1_P1,Westerhall,12.01684,-61.70658,WH_T1
WH_T1_P3,Westerhall,12.01747,-61.70646,WH_T1
WH_T2_P1,Westerhall,12.0161,-61.70489,WH_T2
WH_T2_P3,Westerhall,12.01747,-61.70496,WH_T2
WH_T3_P1,Westerhall,12.01558,-61.70313,WH_T3
WH_T3_P3,Westerhall,12.01621,-61.70304,WH_T3
WH_T4_P1,Westerhall,12.01607,-61.70134,WH_T4
WH_T4_P3,Westerhall,12.01675,-61.70167,WH_T4
CN_T1_P1,Conference,12.159021,-61.60728,CN-T1-P13
CN_T1_P3,Conference,12.1590709,-61.6082268,CN-T1-P13
CN_T2_P1,Conference,12.157456,-61.6084038,CN-T2-P1
CN_T2_P3,Conference,12.1575609,-61.6105549,CN-T2-P3
